word,meaning
reverser,: opposite or contrary to a previous or normal condition
reversi,: a card game in which the player who makes the fewest points and takes the fewest tricks wins
reversibility,: capable of being reversed or of reversing: such as
reversible,: capable of being reversed or of reversing: such as
reversibly,: capable of being reversed or of reversing: such as
reversify,: to formulate anew in verse
reversing,: opposite or contrary to a previous or normal condition
reversingly,: so as to reverse : in a reversing manner
reversion,: the part of a simple estate remaining in the control of its owner after the owner has granted therefrom a lesser particular estate
reversionable,: capable of reversion
reversional,: reversionary
reversionary,": of, relating to, constituting, or involving especially a legal reversion"
reversioner,: one that has or is entitled to a reversion
reversionist,: reversioner
reversis,: a card game in which the player who makes the fewest points and takes the fewest tricks wins
reversive,: relating to or marked by reversion : tending to reverse or revert
reverso,: verso
revert,": to come or go back (as to a former condition, period, or subject)"
reverter,": to come or go back (as to a former condition, period, or subject)"
revertible,": to come or go back (as to a former condition, period, or subject)"
revertive,: reverting or tending to revert : returning
revery,: daydream
revest,": reinstate, reinvest"
revestiary,: revestry
revestry,: a place for the vesting of priests : vestry
revet,: to face with a revetment
revete,: revet
revetement,: revetment
revetment,: a facing (as of stone or concrete) to sustain an embankment
revictual,: to supply (someone or something) with a fresh stock of provisions
revie,: to meet a wager on (as the taking of a trick in a card game) with a higher wager
review,: a formal military inspection
reviewability,: a formal military inspection
reviewable,: a formal military inspection
reviewal,: an act of reviewing : revision
reviewer,: one that reviews
reviewless,: receiving or meriting no review
revigorate,: reinvigorate
revile,: to subject to verbal abuse : vituperate
revilement,: to subject to verbal abuse : vituperate
reviler,: to subject to verbal abuse : vituperate
reviling,: to subject to verbal abuse : vituperate
revilingly,: in a reviling manner
revindicate,: to vindicate again
revindication,: to vindicate again
revirescence,: the condition or fact of being revirescent
revirescent,: growing fresh or young again : reviving
Revisable,: an act of revising : revision
revisable,: an act of revising : revision
revisal,: an act of revising : revision
revise,: an act of revising : revision
Revised,: an act of revising : revision
reviser,: an act of revising : revision
revisible,: revisable
revision,: an act of revising
revisionary,: an act of revising
revisionism,: a movement in revolutionary Marxian socialism favoring an evolutionary rather than a revolutionary spirit
revisionist,: a movement in revolutionary Marxian socialism favoring an evolutionary rather than a revolutionary spirit
revisit,: to visit again : return to
revisitant,: revisiting
revisitation,: an act of revisiting
revisor,: an act of revising : revision
revisory,: having the power or purpose to revise
revisualization,: to visualize (something or someone) again usually in a different way : to see or form a new mental image of (something or someone)
revisualize,: to visualize (something or someone) again usually in a different way : to see or form a new mental image of (something or someone)
revitalization,: to give new life or vigor to
revitalize,: to give new life or vigor to
revivability,: the quality or state of being revivable
revivable,: to return to consciousness or life : become active or flourishing again
revival,: an act or instance of reviving : the state of being revived: such as
revivalism,: the spirit or methods characteristic of religious revivals
revivalist,: one who conducts religious revivals
revivalistic,: one who conducts religious revivals
revive,: to return to consciousness or life : become active or flourishing again
revivement,: revival
reviver,: to return to consciousness or life : become active or flourishing again
revivification,: to give new life to : revive
revivifier,: one that revivifies : reviver
revivify,: to give new life to : revive
reviving,: to return to consciousness or life : become active or flourishing again
reviviscence,: an act of reviving : the state of being revived
reviviscent,: an act of reviving : the state of being revived
revivor,: revival under English law of a suit that is abated
revocability,: the quality or state of being revocable
revocable,: capable of being revoked
revocation,: an act or instance of revoking
revocative,: able or serving to revoke : revoking
revocatory,": of, relating to, or effecting a revocation"
revoice,: to voice again : echo
revokable,: capable of being revoked
revoke,: to annul by recalling or taking back : rescind
revokement,: revocation
revoker,: to annul by recalling or taking back : rescind
revokingly,: in a revoking manner : so as to revoke
revolatilize,: to volatilize again or anew
revolt,: to renounce allegiance or subjection (as to a government) : rebel
revolter,: to renounce allegiance or subjection (as to a government) : rebel
revolting,: extremely offensive
revoltingly,: extremely offensive
revoltress,: a female revolter
revoluble,": capable of revolving : revolvable, rotating"
revolubly,": capable of revolving : revolvable, rotating"
revolute,: rolled backward or downward
revoluted,: revolute
revolution,: the action by a celestial body of going round in an orbit or elliptical course
revolutional,: revolutionary
revolutionally,: revolutionary
revolutionarily,": of, relating to, or constituting a revolution"
revolutionariness,": of, relating to, or constituting a revolution"
revolutionary,": of, relating to, or constituting a revolution"
revolutioneering,: the promoting or conducting of revolutions
revolutioner,: one that supports or is engaged in a revolution : revolutionist
revolutionism,: revolutionary acts or practices : revolutionary doctrines or principles : advocacy of such doctrines or principles
revolutionist,: revolutionary
revolutionize,: to overthrow the established government of
revolutionizer,: to overthrow the established government of
revolvable,: to turn over at length in the mind : ponder
revolve,: to turn over at length in the mind : ponder
revolvement,: an act of revolving or the condition of being revolved
revolvency,: a capacity or tendency to revolve
revolver,: one that revolves
revolving,: tending to revolve or recur
revomit,: to vomit up : vomit forth again
revote,: the act or process of voting again
revue,": a theatrical production consisting typically of brief loosely connected often satirical skits, songs, and dances"
revuist,: a writer of revues
revulsed,: affected with or having undergone revulsion
revulsion,: a strong pulling or drawing away : withdrawal
revulsionary,": of, relating to, or constituting a revulsion"
revulsive,: a strong pulling or drawing away : withdrawal
rewake,: to waken again or anew
rewaken,: rewake
reward,: to give a reward to or for
rewardable,: to give a reward to or for
rewardedly,: in a rewarded manner
rewarder,: to give a reward to or for
rewardful,: offering or productive of reward
rewardfulness,: offering or productive of reward
rewarding,": yielding or likely to yield a reward : valuable, satisfying"
rewardingly,": yielding or likely to yield a reward : valuable, satisfying"
rewardless,: receiving no reward
rewarehouse,: to return to a warehouse : store anew under warehouse conditions
rewarm,: to make (something or someone) warm again : to bring (something or someone) back to a hotter temperature
rewash,: to wash (something or someone) again : to clean (something or someone) again usually with water
rewater,: to provide anew with water
rewaybill,: to provide (as freight at a junction point) with a new waybill
reweaken,: to cause to become weak again
reweave,": to weave (something, such as yarn or cloth) again or anew"
rewed,: remarry
reweigh,: to weigh (something or someone) again: such as
reweld,: to reunite or make secure by or as if by welding
rewet,: to make (something) wet or moist again
rewin,: regain
rewind,: to wind again
rewinder,: one that rewinds something: such as
rewirable,: capable of being rewired
rewire,: to provide or connect (something) with wire again
rewood,: reforest
reword,: to repeat in the same words
rework,: to work again or anew: such as
reworked,: to work again or anew: such as
rewound,: to wind again
rewove,": to weave (something, such as yarn or cloth) again or anew"
rewoven,": to weave (something, such as yarn or cloth) again or anew"
rewrap,: to wrap (something or someone) again : to cover (something or someone) with new wrapping
rewrite,: to write in reply
rewriter,: to write in reply
Rex,": an animal (such as a domestic rabbit or cat) showing a genetic recessive variation in which the guard hairs are very short, sparse, or entirely lacking  � compare cornish rex, devon rex"
rex,": an animal (such as a domestic rabbit or cat) showing a genetic recessive variation in which the guard hairs are very short, sparse, or entirely lacking  � compare cornish rex, devon rex"
Reynard,: fox
reyouth,: to make (as oneself) young again
rezbanyite,": a mineral Pb3Cu2Bi10S19 consisting of lead, copper, and bismuth sulfide and occurring in metallic-gray granular masses (specific gravity 6.1�6.4)"
