word,meaning
milled,: a building provided with machinery for processing and especially for grinding grain into flour
millefiori,: ornamental glass produced by cutting cross sections of fused bundles of glass rods of various colors and sizes
millenarian,: of or relating to belief in a millennium
millenarianism,: belief in the millennium of Christian prophecy
millenarist,: millenarian
millenary,: a group of 1000 units or things
millennia,: the thousand years mentioned in Revelation (see revelation sense 3) 20 during which holiness is to prevail and Christ is to reign on earth
millennial,: of or relating to a millennium
millennialism,: millenarianism
millennialist,: millenarian
millennially,: during 1000 years : in terms of thousands of years
millennian,: millenarian
millenniary,: millennial
millennium,: the thousand years mentioned in Revelation (see revelation sense 3) 20 during which holiness is to prevail and Christ is to reign on earth
Millepora,: a genus of corals comprising the recent millepores
millepore,": any of the stony hydrozoan reef-building corals comprising the order Milleporina with the single recent genus Millepora and like the madrepores with which they constitute the major reef-building corals assuming a variety of branching, encrusting, or massive forms though differing from the madrepores in passing through a free-swimming medusoid stage"
milleporite,: a fossil millepore
miller,: one that operates a mill
millering,: the occupation or business of a miller
Millerism,: the doctrines of the Millerites
Millerite,: sulfide of nickel NiS usually occurring as a mineral in capillary yellow crystals
millerite,: sulfide of nickel NiS usually occurring as a mineral in capillary yellow crystals
millesimal,: the quotient of a unit divided by 1000 : one of 1000 equal parts
millesimally,: the quotient of a unit divided by 1000 : one of 1000 equal parts
millet,: any of various small-seeded annual cereal and forage grasses:
Millettia,: a genus of trees and shrubs (family Leguminosae) found in the Old World tropics and having showy streaked dark reddish or chocolate-colored wood
millfeed,": the by-products (as bran, shorts, middlings) of the milling of wheat flour used for feeding livestock"
millhouse,: a building that houses milling machinery
milliammeter,: an instrument for measuring electric currents in milliamperes  � compare ammeter
milliamp,: one thousandth of an ampere
milliampere,: one thousandth of an ampere
milliangstrom,: one thousandth of an angstrom
milliard,: a thousand millions  � see Table of Numbers
milliary,: marking the distance of a Roman mile
millibar,: a unit of atmospheric pressure equal to �/₁₀₀₀ bar or 100 pascals
millicron,: millimicron
millicurie,: one thousandth of a curie
millieme,: a unit of value of Egypt and Sudan equal to �/₁₀₀₀ pound
milliequivalent,": one thousandth of an equivalent of a chemical element, radical, or compound"
millifarad,: one thousandth of a farad
milligal,: a unit of acceleration equivalent to �/₁₀₀₀ gal
milligram,: a unit of mass equal to �/₁₀₀₀ gram  � see Metric System Table
millihenry,: one thousandth of a henry
millilambert,: one thousandth of a lambert
milliliter,: a unit of capacity equal to �/₁₀₀₀ liter  � see Metric System Table
millilux,: one thousandth of a lux
millimeter,: a unit of length equal to �/₁₀₀₀ meter  � see Metric System Table
millimicron,: nanometer
millimolar,: one thousandth of a mole (as of a substance)
millimole,: one thousandth of a mole (as of a substance)
milline,: a unit of space and circulation equivalent to one agate line appearing in one million copies of a publication
milliner,": a person who designs, makes, trims, or sells women's hats"
millinery,: women's apparel for the head
milling,: a corrugated edge on a coin
millinormal,: having a concentration that is one thousandth that of a normal solution
million,": a number equal to 1,000 times 1,000  � see Table of Numbers"
millionaire,: a person whose wealth is estimated at a million or more (as of dollars or pounds)
millionairedom,: the state of being a millionaire
millionairess,: a woman who is a millionaire
millionairism,: existence or dominating influence of millionaires
millionary,: having a million or millions of money
millioned,: numbered by millions : innumerable
millionfold,": a number equal to 1,000 times 1,000  � see Table of Numbers"
millionism,: millionairism
millions,": a number equal to 1,000 times 1,000  � see Table of Numbers"
millionth,": a number equal to 1,000 times 1,000  � see Table of Numbers"
milliphot,: one thousandth of a phot
millipoise,: one thousandth of a poise
millisecond,: one thousandth of a second
millithrum,: long-tailed tit
millivolt,: one thousandth of a volt
millivoltmeter,: an instrument for measuring potential differences in millivolts
millman,": one that owns, runs, operates, or works in a mill"
millowner,: one who owns a mill
millpond,: a pond created by damming a stream to produce a head of water for operating a mill
millpool,: millpond
millpost,: a large post supporting a windmill
millrace,: a canal in which water flows to and from a mill wheel
