word,meaning
forritsome,": bold, impudent, forward"
forsake,: to renounce or turn away from entirely
forsaken,: to renounce or turn away from entirely
forsaker,: one that forsakes
forslow,: to put off : delay
forsooth,: in truth : indeed
forspeak,: to cast a bad spell over : bewitch especially by immoderate praise
forsterite,: a mineral consisting of magnesian olivine
forswear,: to make a liar of (oneself) under or as if under oath
forsworn,: guilty of perjury
Forsythia,: any of a genus (Forsythia) of ornamental shrubs of the olive family with opposite leaves and yellow bell-shaped flowers appearing before the leaves in early spring
fort,: a strong or fortified place
fortalice,: fortress
forte,: one's strong point
fortescue,: an Australian scorpion fish (Centropogon australis) having along the back venomous erectile spines capable of inflicting painful wounds
fortescure,: an Australian scorpion fish (Centropogon australis) having along the back venomous erectile spines capable of inflicting painful wounds
forth,": onward in time, place, or order : forward"
forthbringer,: one that brings forth
forthcome,: to be forthcoming
forthcomer,: one that comes forth
forthcoming,: being about to appear or to be produced or made available
forthcomingness,: the quality or state of being forthcoming
forthgaze,: to gaze forth
forthgoing,: a going forth (as a departure) : something that goes forth (as an utterance)
forthink,: to change the mind of (oneself)
forthputting,": bold, forward"
forthright,: free from ambiguity or evasiveness : going straight to the point
forthrightly,: free from ambiguity or evasiveness : going straight to the point
forthrightness,: free from ambiguity or evasiveness : going straight to the point
forthrights,: free from ambiguity or evasiveness : going straight to the point
forthtell,: to make public : publish
forthteller,: to make public : publish
forthwith,: without any delay : immediately sense 1
forthy,: on this account : therefore
forties,: a number equal to four times 10  � see Table of Numbers
fortieth,: a number equal to four times 10  � see Table of Numbers
fortifiable,: capable of or suitable for being fortified
fortification,: an act or process of fortifying
fortifier,: to make strong: such as
fortify,: to make strong: such as
fortifying,: to make strong: such as
fortifyingly,: so as to fortify : with or for a fortifying effect
fortin,: a little fort
fortis,: produced with relatively great articulatory tenseness and strong expiration
fortissimo,: very loud
fortitude,: strength of mind that enables a person to encounter danger or bear pain or adversity with courage
fortitudinous,: having or marked by fortitude : courageous
fortlet,: a small or rudimentary fort
fortnight,: a period of 14 days : two weeks
fortnightly,: occurring or appearing once in a fortnight
fortress,: a fortified place : stronghold
fortuitism,: the doctrine or belief that evolutionary adaptations and progress are chance results rather than determined consequences of natural law or the outcome of teleology  � compare tychism
fortuitist,: a believer in fortuitism
fortuitous,: occurring by chance
fortuitously,: occurring by chance
fortuitousness,: occurring by chance
fortuity,: the quality or state of being fortuitous
fortunate,: bringing some good thing not foreseen as certain : auspicious
fortunately,: in a fortunate manner
fortunateness,: bringing some good thing not foreseen as certain : auspicious
fortune,: a very large sum of money
fortuned,: a very large sum of money
fortuneless,: lacking in or not conducive to good fortune : unfortunate
Fortunella,: a genus of Asiatic evergreen citrus shrubs or small trees comprising the kumquats and being often included in the genus Citrus from which it is distinguished by small acid fruits with a sweet pulpy edible skin and only three to seven fruit segments
fortunetell,: to tell the fortune of
fortuneteller,: one that professes to foretell future events
fortunetelling,: one that professes to foretell future events
forty,: a number equal to four times 10  � see Table of Numbers
forum,: the marketplace or public place of an ancient Roman city forming the center of judicial and public business
forwander,: to wander far : become weary from wandering
forward,": near, being at, or belonging to the forepart"
forwardal,: forwarding
forwarder,: one that forwards
forwarding,": near, being at, or belonging to the forepart"
forwardly,": near, being at, or belonging to the forepart"
forwardness,": near, being at, or belonging to the forepart"
forwards,: forward
fossa,": an anatomical pit, groove, or depression"
fossarian,: fossor
fosse,": ditch, moat"
fossette,: a small fossa : a little hollow
fossick,: to search for gold or gemstones typically by picking over abandoned workings
fossicker,: to search for gold or gemstones typically by picking over abandoned workings
fossiform,": having the form of a fossa : depressed, grooved"
fossil,: preserved from a past geologic age
fossiliferous,: containing fossils
fossilification,: fossilization
fossilify,: fossilize
fossilist,: paleontologist
fossilization,: to convert into a fossil
fossilize,: to convert into a fossil
fossilogy,: paleontology
fossilology,: paleontology
fossor,: a gravedigger in the early church
fossorial,: adapted to digging
fossula,: a small or shallow fossa
fossulate,: slightly hollowed or grooved
Foster,": affording, receiving, or sharing nurture or parental care though not related by blood or legal ties"
foster,": affording, receiving, or sharing nurture or parental care though not related by blood or legal ties"
fosterage,: the act of fostering
fosterer,": affording, receiving, or sharing nurture or parental care though not related by blood or legal ties"
fostering,": affording, receiving, or sharing nurture or parental care though not related by blood or legal ties"
fosterland,: land allotted under old English law for the maintenance especially of monks
fosterling,: a foster child
fot,free on truck
fotch,: fetch
fother,: load
Fothergilla,: a small genus (family Hamamelidaceae) of deciduous shrubs of the southeastern U.S. that have alternate coarsely toothed leaves with petioles and stipules and bear white apetalous flowers in terminal heads or spikes
fotui,: a tropical South American timber tree (Jacaranda copaia) yielding a moderately light soft whitish wood
fou,: drunk sense 1a
foud,": a magistrate, sheriff, or bailiff in the Orkney, Shetland, and Faroe islands"
foudroyant,: fulminant
fouette,: a quick whipping movement of the raised leg in ballet usually accompanying a pirouette
fougade,: fougasse
fougasse,: a land mine in which the charge is overlaid by stones or other missiles so placed as to be hurled in the desired direction
foughten,: worn out : exhausted especially from fighting
foughty,": musty, moldy"
foujdary,: a faujdar's jurisdiction
foul,: offensive to the senses : loathsome
foulard,: a lightweight plain-woven or twilled silk usually decorated with a printed pattern
fouler,: offensive to the senses : loathsome
