word,meaning
whelk,: any of numerous large marine snails (as of the genus Buccinum)
whelked,": formed like a whelk shell : twisted, convoluted"
whelm,": to turn (something, such as a dish or vessel) upside down usually to cover something : cover or engulf completely with usually disastrous effect"
whelp,: any of the young of various carnivorous mammals and especially of the dog
whelpless,: having no whelps
whelve,: to turn (as a dish or vessel) upside down usually to cover something
whemmel,": overturn, upset"
when,: at what time
whenas,: when
whence,": from what place, source, or cause"
whenceforth,: whence
whenceforward,: from which time or place onward
whencesoever,: from whatever place or source
whencever,: whencesoever
whenever,: at any or every time that
whenness,: position or relation in time
whenso,: whensoever
whensoever,: whenever
whensomever,: whensoever
where,": at, in, or to what place"
whereabout,: about where : near what place
whereabouts,: about where : near what place
whereafter,: after which
whereanent,: concerning which
whereas,: while on the contrary
whereat,: at or toward which
whereaway,: in what direction
whereby,": by, through, or in accordance with which"
wherefor,: for which
wherefore,: for what reason or purpose : why
wherefrom,: from which
wherein,: in what : in what particular or respect
whereinsoever,": in whatever matter, respect, or action"
whereinto,: into which
whereness,: the quality or state of being in a particular place : position or presence in a definable place
whereof,: with or by which
whereon,: on what
whereout,: out of which : whence
whereover,: over which
whereso,: wheresoever
wheresoever,: wherever
wheresomever,: wheresoever
wherethrough,: through which
whereto,": to what place, purpose, or end"
whereunder,: under which
whereuntil,: whereto
whereunto,: whereto
whereup,: up which
whereupon,: on which
wherever,": at, in, or to any or all places that"
wherewith,: with or by means of which
wherewithal,": means, resources"
wherret,": a cuff on the face or ear : box, slap"
wherrit,": a cuff on the face or ear : box, slap"
wherry,: any of various light boats: such as
wherryman,: one who works on a wherry or who rows passengers in a wherry for hire
whet,: to sharpen by rubbing on or with something (such as a stone)
whether,: in any case
whetrock,: whetstone
whetstone,: a stone for whetting edge tools
whetter,: to sharpen by rubbing on or with something (such as a stone)
whew,: a whistling sound or a sound like a half-formed whistle uttered as an exclamation
whewellite,: a mineral CaC2O4.H2O consisting of calcium oxalate occurring in colorless or white monoclinic crystals polymorphous with weddellite
whewer,: wigeon sense 1a
whewl,": to cry complainingly : whine, howl"
whey,": the watery part of milk that is separated from the coagulable part or curd especially in the process of making cheese and that is rich in lactose, minerals, and vitamins and contains lactalbumin and traces of fat"
wheyey,": consisting of, containing, or resembling whey : wheyish"
wheyface,: a person having a pale face (as from fear)
wheyfaced,: a person having a pale face (as from fear)
wheyish,: somewhat like whey
wheyishness,: somewhat like whey
wheylike,": the watery part of milk that is separated from the coagulable part or curd especially in the process of making cheese and that is rich in lactose, minerals, and vitamins and contains lactalbumin and traces of fat"
which,: being what one or ones out of a group
whichever,: being whatever one or ones out of a group : no matter which
whichsoever,: whichever
whichway,: where
whichways,: where
whicker,": neigh, whinny"
whid,: to move nimbly and silently
whiff,": a quick puff or slight gust especially of air, odor, gas, smoke, or spray"
whiffet,": a small, young, or unimportant person"
whiffle,: to blow unsteadily or in gusts
whiffler,: one that clears the way for a procession
whiffletree,: the pivoted swinging bar to which the traces of a harness are fastened and by which a vehicle or implement is drawn
whiffling,: to blow unsteadily or in gusts
Whig,: a member or supporter of a major British political group of the late 17th through early 19th centuries seeking to limit the royal authority and increase parliamentary power  � compare tory
whig,: a member or supporter of a major British political group of the late 17th through early 19th centuries seeking to limit the royal authority and increase parliamentary power  � compare tory
Whiggamore,": a member of a band composed largely of inhabitants of the southwestern part of Scotland that in 1648 marched to Edinburgh to oppose the king, Duke of Hamilton, and court party"
whiggamore,": a member of a band composed largely of inhabitants of the southwestern part of Scotland that in 1648 marched to Edinburgh to oppose the king, Duke of Hamilton, and court party"
Whiggery,: the principles or practices of Whigs
Whiggify,: to make Whig : influence by Whig principles or policies
Whiggish,: characteristic of Whigs or Whiggery
Whiggishly,: in whiggish manner
Whiggism,: a member or supporter of a major British political group of the late 17th through early 19th centuries seeking to limit the royal authority and increase parliamentary power  � compare tory
Whigling,: a petty Whig
whigmaleerie,: whim
while,: a period of time especially when short and marked by the occurrence of an action or a condition : time
whilere,: a while ago : some time before
whiles,: while
whilie,: a little while
Whilkut,: an Athapaskan people of the Mad river valley in northwestern California
whillaloo,: hullabaloo
whillilew,: hullabaloo
whilly,": cajole, wheedle, gull"
whillywha,: a deceitful flatterer
whilom,: formerly
whilst,: while
whim,: a capricious or eccentric and often sudden idea or turn of the mind : fancy
whimbrel,: a curlew (Numenius phaeopus) chiefly of the northern coastal regions of North America and Eurasia
whimper,: to make a low whining plaintive or broken sound
whimpering,: to make a low whining plaintive or broken sound
whimperingly,: in a whimpering manner : with whimpering
whimsey,": whim, caprice"
whimsical,: resulting from or characterized by whim or caprice
whimsicality,: resulting from or characterized by whim or caprice
whimsically,: resulting from or characterized by whim or caprice
whimsicalness,: resulting from or characterized by whim or caprice
whimsied,: filled with whimsies : whimsical
whimwham,: a whimsical object or device especially of ornament or dress
whin,: gorse
whinberry,: bilberry sense 1a
whinchat,: a small brown and buff European singing bird (Saxicola rubetra) of grassy meadows
whindle,": whine, whimper"
whine,: to utter a high-pitched plaintive or distressed cry
whiner,: to utter a high-pitched plaintive or distressed cry
whing,: a sharp high-pitched ringing sound
whinge,: to complain fretfully : whine
whinger,: whinyard
whininess,: characterized by whining:
whiningly,": producing or emitting a prolonged, high-pitched sound : producing a whine"
whinner,: to whine feebly
whinnock,: whimper
whinny,: to neigh especially in a low or gentle way
whinstone,: basaltic rock : trap
whiny,: characterized by whining:
whinyard,: a short sword
whip,": to take, pull, snatch, jerk, or otherwise move very quickly and forcefully"
whipbird,: coachwhip bird
whipcord,: a thin tough cord made of braided or twisted hemp or catgut
whipcrack,: the cracking of a whip
whipcracker,": one that cracks a whip : one who adopts or applies an authoritative, tyrannical, or threatening approach or policy"
whipgraft,: a plant graft made by interlocking a small tongue and notch in the obliquely cut base of the scion with corresponding cuts in the stock
whiplash,: the lash of a whip
whiplike,": to take, pull, snatch, jerk, or otherwise move very quickly and forcefully"
whipmaster,: one that uses a whip : one that exerts power and control
whipparee,: stingray
whipped,": to take, pull, snatch, jerk, or otherwise move very quickly and forcefully"
whipper,": to take, pull, snatch, jerk, or otherwise move very quickly and forcefully"
whippersnapper,": a diminutive, insignificant, or presumptuous person"
whippertail,: a common smooth dogfish (Mustelus canis) of the western Atlantic
whippet,: any of a breed of small swift slender dogs used for coursing small game and racing
whippiness,: the quality or state of being whippy
whipping,: the act of one that whips: such as
whippletree,: whiffletree
whippoorwill,: a nocturnal nightjar (Caprimulgus vociferus) of chiefly eastern North America with a loud repeated call suggestive of its name
whippy,: unusually resilient : springy
whipsaw,: a narrow pit saw averaging 5 to 7�/₂ feet (1.5 to 2.3 meters) in length
whipsocket,: the whipstock into which a lash is fitted
whipstall,: a stall during a vertical climb in which the nose of the airplane whips violently forward and then downward
whipster,: whippersnapper
whipstitch,: whip sense 5
whipstock,: the handle of a whip
whiptail,: any of various long slender American lizards (genus Cnemidophorus) having a whiplike tail and including some forms that are parthenogenetic
whipworm,: a parasitic nematode worm (genus Trichuris) with a body that is thickened posteriorly and that is very long and slender anteriorly
whir,": to fly, revolve, or move rapidly with a whir"
whirl,: to move in a circle or similar curve especially with force or speed
whirlabout,: the act or process of whirling about
whirlblast,": whirlwind, hurricane"
whirlbone,: hucklebone sense 1
whirled,: to move in a circle or similar curve especially with force or speed
whirler,: to move in a circle or similar curve especially with force or speed
whirley,: a crane free to rotate 360 degrees in picking up and depositing its load
whirligig,: a child's toy having a whirling motion
whirling,: to move in a circle or similar curve especially with force or speed
whirlingly,: with a whirling movement
whirlpool,: a confused tumult and bustle : whirl
whirlpuff,: a whirling gust or blast of wind
whirlwig,: whirligig beetle
whirlwind,: a small rotating windstorm of limited extent
whirly,: having a whirling motion
whirry,: to convey quickly
whirtle,: a perforated steel die through which wires or tubes are drawn
whish,: to urge on or cause to move with a whish
whisk,: a quick light brushing or whipping motion
whisker,: a hair of the beard
whiskerage,: style of wearing the whiskers
whiskered,: a hair of the beard
whiskery,: a hair of the beard
whiskey,": a liquor distilled from fermented wort (such as that obtained from rye, corn, or barley mash)"
whisking,: a quick light brushing or whipping motion
whisky,": a liquor distilled from fermented wort (such as that obtained from rye, corn, or barley mash)"
whisper,: to speak softly with little or no vibration of the vocal cords especially to avoid being overheard
whispered,: to speak softly with little or no vibration of the vocal cords especially to avoid being overheard
whisperer,: one that whispers
whispering,: whispered speech
whisperingly,: whispered speech
whisperous,: whispery
whisperously,: whispery
whispery,: resembling a whisper
whist,: to be silent : hush
whistle,: a small wind instrument in which sound is produced by the forcible passage of breath through a slit in a short tube
whistler,: one that whistles: such as
Whistlerian,: one that whistles: such as
whistlewing,:  american goldeneye
whistlewood,: a tree with an easily separable bark used for making whistles: such as
whistling,: the act or sound of one that whistles : whistle
whistly,: resembling a whistle
Whit,: the smallest part or particle imaginable : bit
whit,: the smallest part or particle imaginable : bit
white,: having the color of new snow or milk
whiteback,: canvasback
whitebait,: the young of any of several European herrings and especially of the common herring (Clupea harengus) or of the sprat (Sprattus sprattus)
whitebark,: any of several American trees (as the white poplar or whitebark pine) with pale or whitish bark
whitebeard,: an old man : graybeard
whitebelly,: any of several birds with wholly or partly white underparts: such as
whitebill,:  american coot
whitebird,: spotted flycatcher
whiteblow,: whitlow grass sense a
whitebottle,: bladder campion sense 1
Whiteboy,: a favored person : pet
Whiteboyism,: the principles or conduct of the Whiteboys
whitecap,: a wave crest breaking into white foam
Whitechapel,"district of eastern London, England, north of the Thames River in Tower Hamlets"
whitecoat,: a very young hair seal and especially a harp seal
whitecomb,": favus of fowls that is marked by proliferation of grayish white crumbly crusts about the comb, earlobes, and wattles"
whitecorn,": a small grain (as wheat, barley, or oats) that becomes light-colored as it ripens"
whitecup,: a prostrate woody Argentine herb (Nierembergia rivularis) with white or rarely blue-tinged or rose-tinged tubular flowers
whited,: covered with white or whiting and especially with whitewash
whiteface,: a white-faced animal
Whitefieldian,: an adherent or follower of the evangelist George Whitefield
Whitefieldite,: an adherent or follower of the evangelist George Whitefield
whitefish,": any of various freshwater salmonid food fishes (especially of genera Coregonus and Prosopium) that resemble the salmon and trout in having an adipose dorsal fin but have a smaller, often toothless mouth and that inhabit cold lakes and streams of the northern hemisphere  � see cisco"
Whitefoot,: a white mark on a horse's foot between the fetlock and the coffin
whitefoot,: a white mark on a horse's foot between the fetlock and the coffin
whitehanded,: having white hands
whitehead,: a small whitish elevation of the skin (as on the face) due to retention of sebum and dead skin cells in a skin pore blocked by a thin layer of epithelium
whiteheart,:  dutchman's-breeches
whitely,: with an effect of whiteness : so as to show or appear white
whiten,: to make white or whiter
whitener,: one that whitens
whiteness,: the quality or state of being white: such as
whitening,: the act or process of making or becoming white
whiteroot,: butterfly weed sense 1
whiterump,:  hudsonian godwit
whites,: having the color of new snow or milk
whiteside,: goldeneye
whitesmith,: tinsmith
whitestone,: a clear colorless imitation gem (as a rhinestone) that simulates the diamond
whitetail,: white-tailed deer
whitethorn,: a hawthorn (Crataegus oxycantha)
whitethroat,: any of several birds with white on the throat: such as
whitetip,: oceanic whitetip shark
whitetop,: a redtop (Agrostis alba)
whitevein,: a disease of tobacco manifesting itself in the veins of the leaves which become white during curing
whitewall,: an automobile tire having a white band on the sidewall
whiteware,": a class of ceramic products that include porcelain, china, pottery, earthenware, stoneware, and vitreous tile, are usually but not necessarily white, and consist typically of clays, feldspar, potter's flint, and whiting"
whitewash,: to whiten with whitewash
whitewasher,: to whiten with whitewash
whiteweed,: any of various weeds with a white or whitish flower: such as
whitewing,: a person and especially a street sweeper wearing a white uniform
whitewood,: any of various trees with pale or white wood: such as
whiteworm,: white grub
whither,: to what place
whitherso,: whithersoever
whithersoever,: to whatever place
whitherto,: whither
whitherward,: toward what or which place
whiting,: any of various marine food fishes: such as
whitish,: having the color of new snow or milk
whitishness,: the quality or state of being whitish
whitleather,: white leather
whitling,: sea trout
whitlow,": an infection of the finger and especially the fingertip that is typically caused by infection of a virus (such as the herpes simplex virus) and is marked by redness, tenderness, and fluid-filled blisters"
whitlowwort,: a plant of the genus Paronychia
Whitmanese,: language or expression of the kind characteristic of the poet Walt Whitman
Whitmanesque,Marcus 1802�1847 and his wife Narcissa 1808�1847 n�e Prentiss American missionaries and pioneers
